condition,arm,model,clip_idx,command,category,transcript,success,correct_function,correct_params,expected_function,actual_function,expected_params,actual_params,latency_ms,wer_raw,wer_norm,error,bucket,tstate
main_en,pipeline,LFM2 1.2B Tool,3,Max brightness,direct,Max Brightness,0,0,0,setScreenBrightness,,"{""brightnessPercent"":100}",{},22771,0.0,0.0,"No tool calls generated; raw: ""I understand you're looking for maximum brightness, but I don't have a specific tool to directly control screen brightness to that level. However, I can adjust the screen brightness to a very high percentage, up to 100%. Would you like me to set the screen brightness to 100%?""",A-asked-permission,clean
main_en,pipeline,LFM2 1.2B Tool,4,Make it suitable for cooking,contextual,Make it suitable for cooking.,0,0,0,setVolume,setDoNotDisturb,"{""volumePercent"":60}","{""durationMinutes"":30}",18898,0.0,0.0,,D-wrong-function,clean
main_en,pipeline,LFM2 1.2B Tool,5,Prepare for office meeting,contextual,Prepare for office meeting.,0,1,0,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":30}",18732,0.0,0.0,,E-wrong-params,clean
main_en,pipeline,LFM2 1.2B Tool,6,Make it loud for music,contextual,Make it loud for music.,0,0,0,setVolume,,"{""volumePercent"":90}",{},22166,0.0,0.0,"No tool calls generated; raw: ""I understand you want to make the music volume loud, but I don't have a specific tool to directly control the volume for music. However, I can adjust the overall device volume using the `setVolume` tool. Would you like me to set the volume to a higher percentage?""",A-asked-permission,clean
main_en,pipeline,LFM2 1.2B Tool,8,Silence for the next 50 minutes,temporal,Silence for the next 15 minutes.,0,1,0,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":50}","{""durationMinutes"":15}",19109,0.1666666666666666,0.1666666666666666,,E-wrong-params,noisy<0.5
main_en,pipeline,LFM2 1.2B Tool,10,Brightness suitable for dark room,contextual,Brightness suitable for dark room.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":20}",{},23243,0.0,0.0,"No tool calls generated; raw: ""I understand you're looking for brightness settings suitable for a dark room. Unfortunately, I don't have a specific tool to directly adjust screen brightness based on room lighting conditions. However, I can adjust the screen brightness to a lower percentage if you'd like. Would you like me to set …""",A-asked-permission,clean
main_en,pipeline,LFM2 1.2B Tool,11,Turn off alerts while exercising,rule,Don't over load while exercising.,0,0,0,createRule,setDoNotDisturb,"{""trigger"":""exercising"",""action"":""mute""}","{""durationMinutes"":30}",18769,0.6,0.6,,D-wrong-function,destroyed>=0.5
main_en,pipeline,LFM2 1.2B Tool,12,Silence when in meditation,rule,"Silence, well in meditation.",0,0,0,createRule,setDoNotDisturb,"{""trigger"":""in meditation"",""action"":""enable_dnd""}","{""durationMinutes"":30}",18839,0.25,0.25,,D-wrong-function,noisy<0.5
main_en,pipeline,LFM2 1.2B Tool,13,Set brightness for reading,contextual,said rightness for reading.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":70}",{},25481,0.5,0.5,"No tool calls generated; raw: ""I understand you're asking about rightness in relation to reading, but the provided tools don't directly address that concept. However, I can offer some related functionalities that might be helpful in your reading experience. For example, I can adjust the screen brightness to make reading more comf…""",B-other-prose,noisy<0.5
main_en,pipeline,LFM2 1.2B Tool,15,Torch off please,direct,Dorch of please.,0,0,0,toggleFlashlight,,"{""enable"":false}",{},25869,0.6666666666666666,0.6666666666666666,"No tool calls generated; raw: ""I understand you're frustrated, but I'm not sure how I can help with that. I can't directly ""please"" anyone. However, I can offer to help you manage your environment in other ways. For example, I can enable Do Not Disturb mode for a set duration, control the flashlight, adjust the volume, change the…""",B-other-prose,destroyed>=0.5
