condition,arm,model,clip_idx,command,category,transcript,success,correct_function,correct_params,expected_function,actual_function,expected_params,actual_params,latency_ms,wer_raw,wer_norm,error
main_en,pipeline,LFM2 1.2B Tool,0,Turn off flashlight,direct,Turn off the flashlight.,1,1,1,toggleFlashlight,toggleFlashlight,"{""enable"":false}","{""enable"":false}",19250,0.3333333333333333,0.3333333333333333,
main_en,pipeline,LFM2 1.2B Tool,1,Quiet mode for 1 hour,temporal,Quite mode for 1 hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",18834,0.2,0.2,
main_en,pipeline,LFM2 1.2B Tool,2,I need quiet time for one hour,temporal,I need quite time for one hour.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":60}",18787,0.14285714285714285,0.14285714285714285,
main_en,pipeline,LFM2 1.2B Tool,3,Max brightness,direct,Max Brightness,0,0,0,setScreenBrightness,,"{""brightnessPercent"":100}",{},22771,0.0,0.0,"No tool calls generated; raw: ""I understand you're looking for maximum brightness, but I don't have a specific tool to directly control screen brightness to that level. However, I can adjust the screen brightness to a very high percentage, up to 100%. Would you like me to set the screen brightness to 100%?"""
main_en,pipeline,LFM2 1.2B Tool,4,Make it suitable for cooking,contextual,Make it suitable for cooking.,0,0,0,setVolume,setDoNotDisturb,"{""volumePercent"":60}","{""durationMinutes"":30}",18898,0.0,0.0,
main_en,pipeline,LFM2 1.2B Tool,5,Prepare for office meeting,contextual,Prepare for office meeting.,0,1,0,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":60}","{""durationMinutes"":30}",18732,0.0,0.0,
main_en,pipeline,LFM2 1.2B Tool,6,Make it loud for music,contextual,Make it loud for music.,0,0,0,setVolume,,"{""volumePercent"":90}",{},22166,0.0,0.0,"No tool calls generated; raw: ""I understand you want to make the music volume loud, but I don't have a specific tool to directly control the volume for music. However, I can adjust the overall device volume using the `setVolume` tool. Would you like me to set the volume to a higher percentage?"""
main_en,pipeline,LFM2 1.2B Tool,7,Enable silence for 2 hours,temporal,Enable silence for two hours.,1,1,1,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":120}","{""durationMinutes"":120}",18571,0.2,0.0,
main_en,pipeline,LFM2 1.2B Tool,8,Silence for the next 50 minutes,temporal,Silence for the next 15 minutes.,0,1,0,setDoNotDisturb,setDoNotDisturb,"{""durationMinutes"":50}","{""durationMinutes"":15}",19109,0.16666666666666666,0.16666666666666666,
main_en,pipeline,LFM2 1.2B Tool,9,Torch on please,direct,Torch on please.,1,1,1,toggleFlashlight,toggleFlashlight,"{""enable"":true}","{""enable"":true}",18447,0.0,0.0,
main_en,pipeline,LFM2 1.2B Tool,10,Brightness suitable for dark room,contextual,Brightness suitable for dark room.,0,0,0,setScreenBrightness,,"{""brightnessPercent"":20}",{},23243,0.0,0.0,"No tool calls generated; raw: ""I understand you're looking for brightness settings suitable for a dark room. Unfortunately, I don't have a specific tool to directly adjust screen brightness based on room lighting conditions. However, I can adjust the screen brightness to a lower percentage if you'd like. Would you like me to set …"""
main_en,pipeline,LFM2 1.2B Tool,11,Turn off alerts while exercising,rule,Don't over load while exercising.,0,0,0,createRule,setDoNotDisturb,"{""trigger"":""exercising"",""action"":""mute""}","{""durationMinutes"":30}",18769,0.6,0.6,
main_en,pipeline,LFM2 1.2B Tool,12,Silence when in meditation,rule,"Silence, well in meditation.",0,0,0,createRule,setDoNotDisturb,"{""trigger"":""in meditation"",""action"":""enable_dnd""}","{""durationMinutes"":30}",18839,0.25,0.25,
